ID,Birthday,Country,City,Marital Status
12496,8/14/1971,Canada,West Halle,1
24107,10/11/1984,Marshall Islands,Cronamouth,
14177,8/22/2009,Libyan Arab Jamahiriya,Stehrchester,1
24381,10/23/1993,Estonia,Titoview,1
25597,2/28/1978,Libyan Arab Jamahiriya,Cordiatown,1
13507,2/3/1983,Maldives,Port Ryanstad,
27974,11/16/1980,France,Dannyshire,
19364,3/31/2020,Estonia,North Clovisburgh,
22155,7/2/2000,Croatia,Port Addison,1
19280,9/28/1981,Faroe Islands,South Paxton,1
22173,3/9/1998,Macedonia,Lake Hoseaview,
12697,7/30/1980,Lao People's Democratic Republic,Zoilafurt,
11434,7/16/2008,Haiti,South Agustina,
25323,8/29/2008,American Samoa,North Kristin,1
23542,10/8/2020,Serbia,South Trudieside,
20870,2/26/2022,Guyana,Jacquesshire,1
23316,9/4/2021,Holy See (Vatican City State),East Chaddburgh,1
12610,12/31/2013,Angola,North Evashire,1
27183,12/29/1983,Montserrat,Wisozkberg,1
25940,2/12/1992,Ecuador,South Bertrandburgh,1
25598,10/11/2001,Heard Island and McDonald Islands,East Austen,1
21564,4/20/1994,Cambodia,Jerodland,
19193,4/24/2006,Czech Republic,Francomouth,1
26412,1/31/2018,Andorra,Huldamouth,1
27184,6/1/2009,Greece,Port Colton,
12590,1/17/2006,Panama,Bednarmouth,
17841,3/18/1980,Namibia,Windlerhaven,1
18283,6/16/1981,Suriname,West Michael,1
18299,9/7/1978,Niger,Avafurt,1
16466,10/25/1984,India,Lake Esmeralda,1
19273,3/29/2021,Sierra Leone,Marvinstad,1
22400,5/1/1983,San Marino,Gabriellashire,1
20942,10/20/2016,Peru,North Derrickville,
18484,6/27/2006,Bulgaria,Lake King,
12291,7/13/1975,Guadeloupe,Kenyattaton,
28380,1/16/2017,Germany,New Jamarcus,1
17891,7/20/2005,Papua New Guinea,Kozeyside,
27832,7/17/2002,Bermuda,Ortizland,1
26863,8/27/1973,Kazakhstan,Brennaport,
16259,10/16/1971,Guam,Smithton,
27803,7/2/1989,Myanmar,Emmerichberg,
14347,1/30/1972,Antigua and Barbuda,New Bethelstad,
17703,6/1/2015,Spain,O'Connelltown,1
17185,5/16/2007,Cyprus,Ciaratown,
29380,7/10/1999,Qatar,Port Nova,1
23986,3/11/1973,Saint Barthelemy,East Camron,1
24466,11/10/1991,Maldives,Port Trace,1
29097,8/12/1989,Peru,Wunschchester,1
19487,5/26/2008,Ukraine,Hoppeton,
14939,9/20/2016,Venezuela,New Cole,1
13826,4/21/2009,Netherlands,West Keyonstad,1
20619,12/31/1988,Albania,East Anahi,1
12558,9/16/2018,Singapore,East Tamia,1
24871,1/31/1982,Djibouti,Destinhaven,
17319,6/9/1976,Iran,Bechtelarmouth,1
28906,4/12/2002,Monaco,North Rahsaanberg,
12808,3/22/1988,Taiwan,West Alicechester,1
20567,3/21/1994,Mayotte,West Stephania,1
25502,5/29/2014,Benin,North Alisonbury,
15580,5/4/1970,Belgium,Blandafort,
24185,6/21/2003,Moldova,East Maya,
19291,5/9/1989,Bouvet Island (Bouvetoya),North Daphnee,
